,title,adress,bewertung,latlang
55,Bärbel Melchert EDEKA,"Ernst-Thälmann-Straße 7a, Brandenburg an der Havel","4,1(334)","[52.6759123, 13.1807833]"
56,Groschen-Markt,"Dahlienweg 1, Brandenburg an der Havel","4,0(207)","[52.4239282, 12.516524824712643]"
57,MÄC-GEIZ,"Neuendorfer Str. 74-76, Brandenburg an der Havel","4,3(125)","[52.4096233, 12.5488899]"
58,Bäcker Thonke im NETTO-Markt,"Rosa-Luxemburg-Allee 4A, Brandenburg an der Havel","3,9(32) · €€","[52.432000349999996, 12.529861996263804]"
59,Fleischerei Kraus KG - mobiler Verkaufswagen,"Wusterwitzer Str. 32, Brandenburg an der Havel","5,0(1)","[52.39458, 12.4095424]"
61,Edeka - Nah und Gut,"Hauptstraße 32, Brandenburg an der Havel","4,0(89)","[52.4099236, 12.5598949]"
62,dm-drogerie markt,"Neuendorfer Str. 76, Brandenburg an der Havel","4,5(68)","[52.408099, 12.5468399]"
63,Tchibo Filiale,"Sankt-Annen-Straße 21-23, Brandenburg an der Havel","4,4(98) · €€","[52.4083483, 12.5654265]"
64,dm-drogerie markt,"Sankt-Annen-Straße 23, Brandenburg an der Havel","3,8(18)","[52.4079391, 12.5654865]"
65,Tankstelle am Supermarkt,"Brielower Landstraße 19, Brandenburg an der Havel","4,3(131)","[52.432033, 12.5484986]"
66,Deine Tafel Brandenburg,"Warschauer Str. 19, Brandenburg an der Havel","3,8(31)","[52.4297896, 12.5308088]"
67,Stehachterl,"Plauer Str. 1, Brandenburg an der Havel","5,0(10)","[52.412019, 12.551747]"
68,Groschen-Markt,"Wusterwitzer Str. 70, Brandenburg an der Havel","4,0(144)","[52.3933246, 12.4034702]"
69,TEDi GmbH & Co. KG,"Am Neuendorfer Sand 1-2a, Brandenburg an der Havel","4,1(240)","[52.4122136, 12.5043308]"
70,Aral,"Brielower Landstraße 17, Brandenburg an der Havel","4,1(34)","[52.4301451, 12.553138]"
71,Getränkeland | DIE GETRÄNKEKÖNNER,"Krakauer Landstraße 33, Brandenburg an der Havel","4,3(52)","[52.4236528, 12.57984754140131]"
72,"Vape-, Snack- & Getränkeautomat Brandenburg","Upstallstraße 2c, Brandenburg an der Havel","5,0(1)","[52.430098650000005, 12.550838]"
73,Ihwe Ralf Getränkemarkt,"Am Rehhagen 28, Brandenburg an der Havel","4,7(51)","[52.3749327, 12.518938751757034]"
75,Werni‘s Räucherbuchte,"Waldstraße 9, Brandenburg an der Havel","5,0(1)","[52.4166322, 12.4147387]"
76,Getränkeland | DIE GETRÄNKEKÖNNER,"Potsdamer Str. 21a, Brandenburg an der Havel","3,8(67)","[52.4050765, 12.57128691574492]"
